date,Arthur D Little careers,McKinsey careers,BCG careers,AT Kearney careers,isPartial
2019-01-01,0,50,27,0,False
2019-02-01,0,53,33,0,False
2019-03-01,0,51,25,7,False
2019-04-01,0,52,28,0,False
2019-05-01,0,52,19,0,False
2019-06-01,0,57,28,0,False
2019-07-01,0,59,25,0,False
2019-08-01,0,67,36,5,False
2019-09-01,0,74,50,9,False
2019-10-01,0,61,41,0,False
2019-11-01,0,46,20,0,False
2019-12-01,0,39,19,0,False
2020-01-01,0,56,22,0,False
2020-02-01,0,53,20,6,False
2020-03-01,0,38,20,0,False
2020-04-01,0,56,19,4,False
2020-05-01,0,46,16,0,False
2020-06-01,0,50,18,0,False
2020-07-01,0,49,17,0,False
2020-08-01,0,53,23,0,False
2020-09-01,0,60,25,0,False
2020-10-01,0,36,18,0,False
2020-11-01,0,25,11,0,False
2020-12-01,0,29,12,0,False
2021-01-01,0,33,15,0,False
2021-02-01,0,38,21,0,False
2021-03-01,0,23,15,0,False
2021-04-01,0,36,12,0,False
2021-05-01,0,29,16,0,False
2021-06-01,0,27,14,0,False
2021-07-01,0,32,13,0,False
2021-08-01,0,31,16,0,False
2021-09-01,0,39,22,0,False
2021-10-01,0,28,14,0,False
2021-11-01,0,28,10,0,False
2021-12-01,0,23,8,0,False
2022-01-01,0,45,22,0,False
2022-02-01,0,45,37,0,False
2022-03-01,0,52,31,0,False
2022-04-01,0,41,25,0,False
2022-05-01,0,44,19,0,False
2022-06-01,0,55,22,0,False
2022-07-01,0,59,34,0,False
2022-08-01,0,57,36,0,False
2022-09-01,0,63,36,0,False
2022-10-01,0,68,38,0,False
2022-11-01,0,55,33,0,False
2022-12-01,0,35,21,0,False
2023-01-01,0,58,37,0,False
2023-02-01,0,60,39,0,False
2023-03-01,0,43,41,0,False
2023-04-01,0,51,35,0,False
2023-05-01,0,45,38,0,False
2023-06-01,0,48,53,0,False
2023-07-01,0,63,36,0,False
2023-08-01,0,55,34,0,False
2023-09-01,0,56,41,0,False
2023-10-01,0,56,33,0,False
2023-11-01,0,37,31,0,False
2023-12-01,0,31,25,0,False
2024-01-01,0,47,30,0,False
2024-02-01,0,49,44,0,False
2024-03-01,0,48,40,0,False
2024-04-01,0,48,32,0,False
2024-05-01,0,39,34,0,False
2024-06-01,0,54,37,0,False
2024-07-01,0,59,40,0,False
2024-08-01,0,62,51,0,False
2024-09-01,0,62,59,0,False
2024-10-01,0,52,44,0,False
2024-11-01,0,47,32,0,False
2024-12-01,0,39,21,0,False
2025-01-01,0,55,34,0,False
2025-02-01,0,62,39,0,False
2025-03-01,0,51,38,0,False
2025-04-01,0,69,48,0,False
2025-05-01,0,46,40,0,False
2025-06-01,0,63,42,0,False
2025-07-01,0,69,52,0,False
2025-08-01,0,66,48,0,False
2025-09-01,0,63,47,0,False
2025-10-01,0,50,37,0,False
2025-11-01,0,64,35,0,False
2025-12-01,0,52,34,0,False
2026-01-01,0,72,41,0,False
2026-02-01,0,77,41,0,False
2026-03-01,0,100,54,0,False
2026-04-01,1,58,42,1,True
