date,McKinsey careers,BCG careers,consulting analyst jobs,AI consulting jobs,isPartial
2018-01-01,53,22,21,0,False
2018-02-01,56,18,19,0,False
2018-03-01,52,19,20,0,False
2018-04-01,49,19,21,0,False
2018-05-01,44,15,20,0,False
2018-06-01,46,16,22,0,False
2018-07-01,47,20,24,0,False
2018-08-01,53,21,24,0,False
2018-09-01,63,31,20,0,False
2018-10-01,61,23,27,0,False
2018-11-01,41,20,11,0,False
2018-12-01,34,13,14,0,False
2019-01-01,39,21,23,0,False
2019-02-01,41,25,23,0,False
2019-03-01,39,19,20,0,False
2019-04-01,40,22,20,0,False
2019-05-01,40,14,19,0,False
2019-06-01,44,21,24,0,False
2019-07-01,46,19,24,0,False
2019-08-01,52,27,19,0,False
2019-09-01,57,38,29,0,False
2019-10-01,47,32,18,0,False
2019-11-01,35,15,17,0,False
2019-12-01,30,14,18,0,False
2020-01-01,43,17,21,0,False
2020-02-01,41,15,19,0,False
2020-03-01,29,15,14,0,False
2020-04-01,43,15,15,0,False
2020-05-01,35,13,21,0,False
2020-06-01,39,14,20,0,False
2020-07-01,37,13,19,0,False
2020-08-01,41,18,16,0,False
2020-09-01,46,19,19,0,False
2020-10-01,28,14,19,0,False
2020-11-01,19,9,11,0,False
2020-12-01,22,9,14,0,False
2021-01-01,25,11,16,0,False
2021-02-01,29,16,12,0,False
2021-03-01,18,12,11,0,False
2021-04-01,28,9,13,0,False
2021-05-01,22,12,13,0,False
2021-06-01,21,11,15,0,False
2021-07-01,25,10,19,0,False
2021-08-01,24,12,14,0,False
2021-09-01,30,17,18,0,False
2021-10-01,22,10,12,0,False
2021-11-01,21,8,14,0,False
2021-12-01,17,6,11,0,False
2022-01-01,34,17,18,0,False
2022-02-01,35,29,23,0,False
2022-03-01,40,24,20,0,False
2022-04-01,32,19,21,0,False
2022-05-01,33,15,17,0,False
2022-06-01,42,17,17,0,False
2022-07-01,45,26,23,0,False
2022-08-01,44,28,20,0,False
2022-09-01,49,28,26,0,False
2022-10-01,53,29,22,0,False
2022-11-01,42,25,18,0,False
2022-12-01,27,16,16,0,False
2023-01-01,45,28,26,0,False
2023-02-01,46,30,22,0,False
2023-03-01,33,31,24,4,False
2023-04-01,39,27,21,6,False
2023-05-01,35,29,22,6,False
2023-06-01,37,41,21,4,False
2023-07-01,48,28,24,6,False
2023-08-01,42,26,23,7,False
2023-09-01,43,31,27,5,False
2023-10-01,43,25,23,0,False
2023-11-01,28,24,20,4,False
2023-12-01,23,19,19,0,False
2024-01-01,36,23,28,4,False
2024-02-01,38,34,27,7,False
2024-03-01,37,31,23,7,False
2024-04-01,37,25,24,8,False
2024-05-01,30,26,18,7,False
2024-06-01,42,29,24,8,False
2024-07-01,46,31,26,5,False
2024-08-01,48,39,33,7,False
2024-09-01,47,45,32,11,False
2024-10-01,40,34,27,7,False
2024-11-01,37,24,19,9,False
2024-12-01,30,16,23,6,False
2025-01-01,42,26,23,10,False
2025-02-01,47,30,24,9,False
2025-03-01,39,30,30,12,False
2025-04-01,53,37,28,15,False
2025-05-01,35,31,22,12,False
2025-06-01,48,32,26,42,False
2025-07-01,53,40,28,49,False
2025-08-01,51,37,32,68,False
2025-09-01,48,36,25,56,False
2025-10-01,39,29,25,58,False
2025-11-01,49,27,19,49,False
2025-12-01,40,26,25,52,False
2026-01-01,55,32,35,63,False
2026-02-01,60,32,29,80,False
2026-03-01,77,42,35,100,False
2026-04-01,44,32,21,34,True
