date,junior consultant salary,consulting analyst burnout,leave consulting,consulting exit opportunities,isPartial
2018-01-01,0,0,9,5,False
2018-02-01,6,0,7,0,False
2018-03-01,6,0,9,0,False
2018-04-01,5,0,7,4,False
2018-05-01,0,0,11,0,False
2018-06-01,0,0,9,0,False
2018-07-01,7,0,11,0,False
2018-08-01,0,0,11,7,False
2018-09-01,5,0,8,9,False
2018-10-01,5,0,0,5,False
2018-11-01,5,0,6,0,False
2018-12-01,5,0,12,0,False
2019-01-01,5,0,0,6,False
2019-02-01,0,0,12,0,False
2019-03-01,6,0,7,0,False
2019-04-01,5,0,10,0,False
2019-05-01,5,0,6,0,False
2019-06-01,5,0,9,6,False
2019-07-01,6,0,11,0,False
2019-08-01,0,0,6,0,False
2019-09-01,5,0,9,7,False
2019-10-01,6,0,8,5,False
2019-11-01,0,0,7,0,False
2019-12-01,0,0,9,0,False
2020-01-01,8,0,7,0,False
2020-02-01,7,0,11,0,False
2020-03-01,6,0,10,0,False
2020-04-01,6,0,6,4,False
2020-05-01,0,0,7,7,False
2020-06-01,6,0,9,8,False
2020-07-01,8,0,7,5,False
2020-08-01,4,0,0,0,False
2020-09-01,7,0,10,7,False
2020-10-01,0,0,11,8,False
2020-11-01,0,0,6,4,False
2020-12-01,4,0,9,0,False
2021-01-01,6,0,7,4,False
2021-02-01,7,0,9,0,False
2021-03-01,6,0,13,5,False
2021-04-01,7,0,9,7,False
2021-05-01,5,0,7,5,False
2021-06-01,7,0,10,5,False
2021-07-01,7,0,8,5,False
2021-08-01,6,0,7,4,False
2021-09-01,10,0,10,5,False
2021-10-01,7,0,18,6,False
2021-11-01,7,0,10,7,False
2021-12-01,7,0,8,5,False
2022-01-01,6,0,14,0,False
2022-02-01,10,0,18,6,False
2022-03-01,10,0,19,4,False
2022-04-01,6,0,17,6,False
2022-05-01,6,0,15,5,False
2022-06-01,6,0,15,7,False
2022-07-01,8,0,15,4,False
2022-08-01,9,0,14,6,False
2022-09-01,9,0,11,9,False
2022-10-01,5,0,18,8,False
2022-11-01,7,0,14,8,False
2022-12-01,0,0,10,0,False
2023-01-01,6,0,17,5,False
2023-02-01,8,0,16,5,False
2023-03-01,0,0,17,6,False
2023-04-01,5,0,12,6,False
2023-05-01,6,0,11,7,False
2023-06-01,0,0,13,6,False
2023-07-01,0,0,16,5,False
2023-08-01,8,0,12,6,False
2023-09-01,4,0,17,6,False
2023-10-01,0,0,17,9,False
2023-11-01,0,0,16,7,False
2023-12-01,5,0,11,6,False
2024-01-01,5,0,17,6,False
2024-02-01,0,0,19,8,False
2024-03-01,6,0,22,7,False
2024-04-01,9,0,20,0,False
2024-05-01,0,0,16,5,False
2024-06-01,0,0,17,5,False
2024-07-01,5,0,18,4,False
2024-08-01,0,0,13,5,False
2024-09-01,6,0,20,6,False
2024-10-01,4,0,23,7,False
2024-11-01,6,0,20,0,False
2024-12-01,0,0,16,0,False
2025-01-01,0,0,21,7,False
2025-02-01,0,0,26,6,False
2025-03-01,6,0,23,0,False
2025-04-01,5,0,20,0,False
2025-05-01,0,0,29,0,False
2025-06-01,0,0,43,8,False
2025-07-01,7,0,55,4,False
2025-08-01,6,0,37,8,False
2025-09-01,0,0,55,5,False
2025-10-01,0,0,50,4,False
2025-11-01,9,0,55,5,False
2025-12-01,15,0,62,7,False
2026-01-01,18,0,89,0,False
2026-02-01,14,0,100,7,False
2026-03-01,12,0,99,8,False
2026-04-01,6,0,35,3,True
